Date,State,cases,daily_cases,daily_deaths,deaths,Rolling Avg Cases,Rolling Avg Deaths
2020-03-13,Alabama,6,0.0,0.0,0,,
2020-03-14,Alabama,12,6.0,0.0,0,,
2020-03-15,Alabama,23,11.0,0.0,0,,
2020-03-16,Alabama,29,6.0,0.0,0,,
2020-03-17,Alabama,39,10.0,0.0,0,,
2020-03-18,Alabama,51,12.0,0.0,0,,
2020-03-19,Alabama,78,27.0,0.0,0,10.285714285714286,0.0
2020-03-20,Alabama,106,28.0,0.0,0,14.285714285714286,0.0
2020-03-21,Alabama,131,25.0,0.0,0,17.0,0.0
2020-03-22,Alabama,157,26.0,0.0,0,19.142857142857142,0.0
2020-03-23,Alabama,196,39.0,0.0,0,23.857142857142858,0.0
2020-03-24,Alabama,242,46.0,0.0,0,29.0,0.0
2020-03-25,Alabama,386,144.0,1.0,1,47.857142857142854,0.14285714285714285
2020-03-26,Alabama,538,152.0,2.0,3,65.71428571428571,0.42857142857142855
2020-03-27,Alabama,639,101.0,1.0,4,76.14285714285714,0.5714285714285714
2020-03-28,Alabama,720,81.0,0.0,4,84.14285714285714,0.5714285714285714
2020-03-29,Alabama,830,110.0,1.0,5,96.14285714285714,0.7142857142857143
2020-03-30,Alabama,947,117.0,6.0,11,107.28571428571429,1.5714285714285714
2020-03-31,Alabama,999,52.0,3.0,14,108.14285714285714,2.0
2020-04-01,Alabama,1108,109.0,14.0,28,103.14285714285714,3.857142857142857
2020-04-02,Alabama,1270,162.0,4.0,32,104.57142857142857,4.142857142857143
2020-04-03,Alabama,1535,265.0,6.0,38,128.0,4.857142857142857
2020-04-04,Alabama,1632,97.0,6.0,44,130.28571428571428,5.714285714285714
2020-04-05,Alabama,1840,208.0,1.0,45,144.28571428571428,5.714285714285714
2020-04-06,Alabama,2005,165.0,8.0,53,151.14285714285714,6.0
2020-04-07,Alabama,2197,192.0,11.0,64,171.14285714285714,7.142857142857143
2020-04-08,Alabama,2498,301.0,3.0,67,198.57142857142858,5.571428571428571
2020-04-09,Alabama,2838,340.0,11.0,78,224.0,6.571428571428571
2020-04-10,Alabama,3008,170.0,2.0,80,210.42857142857142,6.0
2020-04-11,Alabama,3262,254.0,13.0,93,232.85714285714286,7.0
2020-04-12,Alabama,3583,321.0,0.0,93,249.0,6.857142857142857
2020-04-13,Alabama,3805,222.0,11.0,104,257.14285714285717,7.285714285714286
2020-04-14,Alabama,3953,148.0,10.0,114,250.85714285714286,7.142857142857143
2020-04-15,Alabama,4241,288.0,9.0,123,249.0,8.0
2020-04-16,Alabama,4404,163.0,14.0,137,223.71428571428572,8.428571428571429
2020-04-17,Alabama,4572,168.0,14.0,151,223.42857142857142,10.142857142857142
2020-04-18,Alabama,4723,151.0,-4.0,147,208.71428571428572,7.714285714285714
2020-04-19,Alabama,4903,180.0,13.0,160,188.57142857142858,9.571428571428571
2020-04-20,Alabama,5078,175.0,4.0,164,181.85714285714286,8.571428571428571
2020-04-21,Alabama,5327,249.0,22.0,186,196.28571428571428,10.285714285714286
2020-04-22,Alabama,5610,283.0,15.0,201,195.57142857142858,11.142857142857142
